step,variable,mae,n
3,potassium,0.053417032837588134,1072
3,sodium,0.5595976476810005,1078
3,anion_gap,0.2397454849854686,1034
3,albumin,0.06130057265832439,147
3,platelets,5.62448443719716,967
3,bilirubin_total,0.12474252030995808,276
3,magnesium,0.034925545830501344,1021
4,heart_rate,5.465853961102668,2408
4,arterial_bp_mean,5.489192093280585,1097
4,respiratory_rate,7.238614367910477,2408
4,spo2,1.0569546749088738,2408
4,temperature_f,0.34169888265729076,2382
4,gcs_total,0.43507552342378786,2405
4,lactate,0.5620617749658475,200
4,creatinine,0.1112215567310817,1048
4,bun,1.4671492436241462,1047
4,wbc,0.781189307221725,961
4,hemoglobin,0.17933343299210527,966
4,bicarbonate,0.32406614256449323,1034
4,glucose_lab,6.817293472201488,1028
4,potassium,0.052970736636004025,1072
4,sodium,0.5634782515613485,1078
4,anion_gap,0.2391158503463704,1034
4,albumin,0.06150579905628945,147
4,platelets,5.586388041867891,967
4,bilirubin_total,0.12826566414008736,276
4,magnesium,0.03550418803077277,1021
5,heart_rate,5.383322217267437,2408
5,arterial_bp_mean,5.410366758197409,1097
5,respiratory_rate,7.744933839722236,2408
5,spo2,1.0574171080084966,2408
5,temperature_f,0.34618314215366114,2382
5,gcs_total,0.4357164775136832,2405
5,lactate,0.5685878185595383,200
5,creatinine,0.11066075803518635,1048
5,bun,1.4621858756044026,1047
5,wbc,0.7829800145500954,961
5,hemoglobin,0.17950475214237907,966
5,bicarbonate,0.3225143693380605,1034
5,glucose_lab,6.774079999412003,1028
5,potassium,0.053044391885716524,1072
5,sodium,0.5601548226952169,1078
5,anion_gap,0.23893941064337165,1034
5,albumin,0.061733547156025144,147
5,platelets,5.593347923503808,967
5,bilirubin_total,0.12699196949954467,276
5,magnesium,0.0355805316542745,1021
6,heart_rate,5.372570755360835,2408
6,arterial_bp_mean,5.5401444324070015,1097
6,respiratory_rate,8.404545906236454,2408
6,spo2,1.0570850474419704,2408
6,temperature_f,0.3461098823956277,2382
6,gcs_total,0.4373442808749475,2405
6,lactate,0.5678033406349253,200
6,creatinine,0.11030796134248148,1048
6,bun,1.466060253999352,1047
6,wbc,0.7792304877681421,961
6,hemoglobin,0.17931962754947572,966
6,bicarbonate,0.31890422155610715,1034
6,glucose_lab,6.736026673817619,1028
6,potassium,0.05313827092864253,1072
6,sodium,0.563840233370996,1078
6,anion_gap,0.23876400659026634,1034
6,albumin,0.06164708878948979,147
6,platelets,5.623317386846676,967
6,bilirubin_total,0.13316257759542463,276
6,magnesium,0.035417709276211136,1021
7,heart_rate,5.427043808876121,2408
7,arterial_bp_mean,5.475154152743608,1097
7,respiratory_rate,8.789350240679783,2408
7,spo2,1.104336622481176,2408
7,temperature_f,0.32190456742815093,2382
7,gcs_total,0.4209318154035259,2405
7,lactate,0.5745489805140129,200
7,creatinine,0.10914119683953086,1048
7,bun,1.4612605325847874,1047
7,wbc,0.7800039581252275,961
7,hemoglobin,0.17973777999567603,966
7,bicarbonate,0.321797183407237,1034
7,glucose_lab,6.80694063229648,1028
7,potassium,0.0530032593980052,1072
7,sodium,0.5642302330277392,1078
7,anion_gap,0.23833290613772953,1034
7,albumin,0.06151614978486737,147
7,platelets,5.587143570859336,967
7,bilirubin_total,0.12758944267540231,276
7,magnesium,0.03541847493740155,1021
8,heart_rate,5.615105058754595,2408
8,arterial_bp_mean,5.305933677975156,1097
8,respiratory_rate,8.809938746771676,2408
8,spo2,1.0442619404212596,2408
8,temperature_f,0.34000997297647045,2382
8,gcs_total,0.42301935437760835,2405
8,lactate,0.5669775984147125,200
8,creatinine,0.1069410076382764,1048
8,bun,1.4675337705452431,1047
8,wbc,0.7746616181599538,961
8,hemoglobin,0.1812671640151067,966
8,bicarbonate,0.3220372607602796,1034
8,glucose_lab,6.761802062987005,1028
8,potassium,0.052692460913117536,1072
8,sodium,0.5705088083097583,1078
8,anion_gap,0.23838263276345195,1034
8,albumin,0.061588074264067906,147
8,platelets,5.592833975348923,967
8,bilirubin_total,0.12946562799975395,276
8,magnesium,0.0348547254425622,1021
9,heart_rate,5.378101020214407,2408
9,arterial_bp_mean,5.083044323631988,1097
9,respiratory_rate,8.360828880942687,2408
9,spo2,1.0064570546491718,2408
9,temperature_f,0.36121574670530526,2382
9,gcs_total,0.42203950591183664,2405
9,lactate,0.5620899987370719,200
9,creatinine,0.10623710729682598,1048
9,bun,1.4509526726465525,1047
9,wbc,0.7768142868465393,961
9,hemoglobin,0.18082631021674914,966
9,bicarbonate,0.31893826051110596,1034
9,glucose_lab,6.765801242217278,1028
9,potassium,0.052684553685581635,1072
9,sodium,0.5691764969114862,1078
9,anion_gap,0.23740410624557468,1034
9,albumin,0.06225423417808731,147
9,platelets,5.605952987630029,967
9,bilirubin_total,0.13099536107986598,276
9,magnesium,0.03487961138641876,1021
10,heart_rate,5.435831845350764,2408
10,arterial_bp_mean,5.4445252545883225,1097
10,respiratory_rate,8.32703462082929,2408
10,spo2,1.000244263303055,2408
10,temperature_f,0.33616268264308863,2382
